약국명,주소,약국전화번호,기준일자,위도,경도,행정동
호수온누리약국,"서울특별시 성북구 동소문로47길 12, 1층 (길음동)",02-988-8979,2019-06-24,37.60894036,127.029052,길음2동
돌곶이온누리약국,"서울특별시 성북구 화랑로 248, 장위뉴타워 102호, 102-1호 (석관동)",02-967-5555,2019-06-24,37.61040424,127.0569046,석관동
홀리데이약국,서울특별시 성북구 종암로 123 홀리데이약국,02-927-0242,2019-06-24,37.60101417,127.0331664,종암동
하얀약국,"서울특별시 성북구 아리랑로 9, 산맥프라자 2층 202호 (동소문동6가)",02-921-9131,2019-06-24,37.59373053,127.0159792,동선동
콩약국,"서울특별시 성북구 길음로 20, 길음뉴타운,래미안길음3차아파트 상가 3층 315호 (길음동)",02-913-3020,2019-06-24,37.60475389,127.0230392,길음1동
소원약국,"서울특별시 성북구 개운사길 2, 1층 (안암동5가)",02-3291-1905,2019-06-24,37.58650918,127.0294735,안암동
새성신약국,"서울특별시 성북구 동소문로 125, 골든타워 1층 101호 (동선동4가)",02-921-9971,2019-06-24,37.59415547,127.0182168,동선동
더사랑약국,"서울특별시 성북구 아리랑로 16, 1층 104호 (동선동4가)",02-921-1246,2019-06-24,37.59423501,127.0165047,동선동
육층약국,"서울특별시 성북구 동소문로 106, 유타 6층 (동선동1가)",02-927-6265,2019-06-24,37.5925735,127.0170886,동선동
길음시장약국,서울특별시 성북구 길음로9길 50 길음시장약국,070-4402-4565,2019-06-24,37.60269641,127.0209503,길음1동
나바론약국,"서울특별시 성북구 동소문로3길 4, 정화빌딩 1층 (동소문동1가)",02-762-6300,2019-06-24,37.58910393,127.0066168,성북동
정릉아름드리약국,"서울특별시 성북구 보국문로 33, 1층 106호 (정릉동)",,2019-06-24,37.60737578,127.0101247,정릉2동
유민약국,"서울특별시 성북구 동소문로 127-2, 1층 (동선동4가)",02-929-8937,2019-06-24,37.5944185,127.0185882,동선동
아름다운약국,"서울특별시 성북구 길음로 33, 상가B동 지층 17,18,19호 (길음동, 길음뉴타운)",02-912-5148,2019-06-24,37.60504961,127.022011,길음1동
삼층약국,"서울특별시 성북구 동소문로 248, 102동 314-1호 (길음동, 삼부아파트)",02-915-0022,2019-06-24,37.60346697,127.0245563,길음1동
보문약국,"서울특별시 성북구 보문로 123, 1층 (보문동2가)",02-921-3844,2019-06-24,37.5859924,127.018731,보문동
월곡보건약국,"서울특별시 성북구 화랑로 61, 1층 (하월곡동)",02-909-8144,2019-06-24,37.60264852,127.0392054,월곡2동
열린약국,"서울특별시 성북구 종암로19길 17, 양지빌딩 1층 (종암동)",02-921-9233,2019-06-24,37.59816326,127.0337585,종암동
새롬약국,"서울특별시 성북구 장위로 58, 1층 (장위동)",02-915-0690,2019-06-24,37.61381947,127.0429806,장위1동
삼성약국,서울특별시 성북구 동소문로 190 삼성약국,02-929-3069,2019-06-24,37.59889042,127.0220907,돈암1동
아이메디칼약국,서울특별시 성북구 동소문로46길 18 아이메디칼약국,02-942-3365,2019-06-24,37.60684624,127.0299391,길음2동
아가페온누리약국,"서울특별시 성북구 정릉로 274, 1층 (정릉동)",02-916-8373,2019-06-24,37.60318761,127.0137843,정릉1동
가까운행복약국,"서울특별시 성북구 고려대로13길 8, 1층 (안암동2가)",02-928-4545,2019-06-24,37.58699702,127.0236768,안암동
도담약국,"서울특별시 성북구 동소문로 305, 지층 (길음동)",02-945-7650,2019-06-24,37.60737284,127.0282179,길음2동
세계로약국,서울특별시 성북구 화랑로40길 54 (석관동),02-962-5446,2019-06-24,37.61345289,127.0644864,석관동
현약국,"서울특별시 성북구 북악산로 844, 상가동 지하층 102-1호 (돈암동, 브라운스톤 돈암 아파트)",02-926-1860,2019-06-24,37.59738445,127.0193227,돈암2동
아이팜약국,서울특별시 성북구 길음로 103 아이팜 약국,02-911-0175,2019-06-24,37.61086348,127.0179762,길음1동
정릉약국,"서울특별시 성북구 보국문로 45, 1층 (정릉동)",02-914-3982,2019-06-24,37.60854349,127.0097715,정릉4동
미소드림약국,"서울특별시 성북구 동소문로 10, 1층 (동소문동2가, 카프리빌딩)",02-747-6464,2019-06-24,37.58873268,127.0073324,삼선동
이층봄약국,"서울특별시 성북구 보문로 183, 2층 (삼선동4가, 논현빌딩)",02-922-8874,2019-06-24,37.59017717,127.0147873,삼선동
W스토어 참좋은약국,"서울특별시 성북구 동소문로 34, 1층 (동소문동3가, 연진빌딩)",02-921-1255,2019-06-24,37.58982089,127.0098778,삼선동
스타온누리약국,"서울특별시 성북구 동소문로 14-1, 1층 (동소문동2가, 로석빌딩)",,2019-06-24,37.58898852,127.0078895,삼선동
늘푸른약국,"서울특별시 성북구 돌곶이로 25 (석관동, 씨티홈)",02-969-0566,2019-06-24,37.60665405,127.0610377,석관동
두리약국,"서울특별시 성북구 돌곶이로 37, 1층 (석관동, 상지빌딩)",02-969-3394,2019-06-24,37.60746535,127.0602456,석관동
스타약국,"서울특별시 성북구 동소문로 92, 1층 (동소문동5가, 강윤빌딩)",070-4257-5277,2019-06-24,37.59216647,127.0154942,삼선동
